Train | episode  11800 | loss: 0.404 | acc: 0.688
Train | episode  11900 | loss: 0.694 | acc: 0.562
Train | episode  12000 | loss: 0.657 | acc: 0.625
Train | episode  12100 | loss: 0.267 | acc: 0.625
Train | episode  12200 | loss: 0.384 | acc: 0.625
Train | episode  12300 | loss: 0.454 | acc: 0.438
Train | episode  12400 | loss: 0.492 | acc: 0.688
Train | episode  12500 | loss: 0.763 | acc: 0.375
Train | episode  12600 | loss: 0.445 | acc: 0.688
Train | episode  12700 | loss: 0.321 | acc: 0.562
Train | episode  12800 | loss: 0.447 | acc: 0.688
Train | episode  12900 | loss: 0.381 | acc: 0.500
Train | episode  13000 | loss: 0.544 | acc: 0.562
Train | episode  13100 | loss: 0.678 | acc: 0.438
Train | episode  13200 | loss: 0.487 | acc: 0.500
Train | episode  13300 | loss: 0.329 | acc: 0.562
Train | episode  13400 | loss: 0.379 | acc: 0.688
Train | episode  13500 | loss: 0.327 | acc: 0.500
Train | episode  13600 | loss: 0.557 | acc: 0.688
Train | episode  13700 | loss: 0.475 | acc: 0.688
Train | episode  13800 | loss: 0.444 | acc: 0.625
Train | episode  13900 | loss: 0.483 | acc: 0.625
Train | episode  14000 | loss: 0.260 | acc: 0.688
Train | episode  14100 | loss: 0.310 | acc: 0.688
Train | episode  14200 | loss: 0.315 | acc: 0.625
Train | episode  14300 | loss: 0.378 | acc: 0.500
Train | episode  14400 | loss: 0.485 | acc: 0.500
Train | episode  14500 | loss: 0.461 | acc: 0.562
Train | episode  14600 | loss: 0.329 | acc: 0.750
Train | episode  14700 | loss: 0.469 | acc: 0.625
Train | episode  14800 | loss: 0.450 | acc: 0.625
Train | episode  14900 | loss: 0.522 | acc: 0.562
Train | episode  15000 | loss: 0.313 | acc: 0.688
Train | episode  15100 | loss: 0.209 | acc: 0.812
Train | episode  15200 | loss: 0.459 | acc: 0.688
Train | episode  15300 | loss: 0.248 | acc: 0.688
Train | episode  15400 | loss: 0.282 | acc: 0.750
Train | episode  15500 | loss: 0.404 | acc: 0.688
Train | episode  15600 | loss: 0.260 | acc: 0.750
Train | episode  15700 | loss: 0.592 | acc: 0.500
Train | episode  15800 | loss: 0.485 | acc: 0.562
Train | episode  15900 | loss: 0.401 | acc: 0.562
Train | episode  16000 | loss: 0.349 | acc: 0.438
Train | episode  16100 | loss: 0.324 | acc: 0.562
Train | episode  16200 | loss: 0.491 | acc: 0.625
Train | episode  16300 | loss: 0.360 | acc: 0.562
Train | episode  16400 | loss: 0.275 | acc: 0.688
Train | episode  16500 | loss: 0.281 | acc: 0.750
Train | episode  16600 | loss: 0.584 | acc: 0.562
Train | episode  16700 | loss: 0.459 | acc: 0.750
Train | episode  16800 | loss: 0.482 | acc: 0.438
Train | episode  16900 | loss: 0.458 | acc: 0.625
Train | episode  17000 | loss: 0.336 | acc: 0.688
Train | episode  17100 | loss: 0.177 | acc: 0.812
Train | episode  17200 | loss: 0.176 | acc: 0.875
